item #,price,title,link
31,20.900,Samsung Galaxy A20 Dual SIM 32 GB Negro 3 GB RAM ,https://www.mercadolibre.com.ar/samsung-galaxy-a20-dual-sim-32-gb-negro-3-gb-ram/p/MLA14643307?source=search#searchVariation=MLA14643307&position=33&type=product&tracking_id=ce7eba03-1e84-43b8-8e57-605c40c607f5
32,32.999,Samsung Galaxy A9 (2018) 128 GB Negro caviar 6 GB RAM ,https://www.mercadolibre.com.ar/samsung-galaxy-a9-2018-128-gb-negro-caviar-6-gb-ram/p/MLA13385850?source=search#searchVariation=MLA13385850&position=34&type=product&tracking_id=ce7eba03-1e84-43b8-8e57-605c40c607f5
33,20.999,Samsung Galaxy M20 Dual SIM 32 GB Negro carbón 3 GB RAM ,https://www.mercadolibre.com.ar/samsung-galaxy-m20-dual-sim-32-gb-negro-carbon-3-gb-ram/p/MLA14556375?source=search#searchVariation=MLA14556375&position=35&type=product&tracking_id=ce7eba03-1e84-43b8-8e57-605c40c607f5
34,10.390,Samsung Galaxy J5 Prime 16 GB Negro 2 GB RAM ,https://www.mercadolibre.com.ar/samsung-galaxy-j5-prime-16-gb-negro-2-gb-ram/p/MLA6312268?source=search#searchVariation=MLA6312268&position=36&type=product&tracking_id=ce7eba03-1e84-43b8-8e57-605c40c607f5
35,69.950,Samsung Galaxy A80 Dual SIM 128 GB Ghost white 8 GB RAM ,https://www.mercadolibre.com.ar/samsung-galaxy-a80-dual-sim-128-gb-ghost-white-8-gb-ram/p/MLA15036451?source=search#searchVariation=MLA15036451&position=37&type=product&tracking_id=ce7eba03-1e84-43b8-8e57-605c40c607f5
36,43.950,Samsung Galaxy A9 (2018) Dual SIM 128 GB Negro caviar 8 GB RAM ,https://www.mercadolibre.com.ar/samsung-galaxy-a9-2018-dual-sim-128-gb-negro-caviar-8-gb-ram/p/MLA13265556?source=search#searchVariation=MLA13265556&position=38&type=product&tracking_id=ce7eba03-1e84-43b8-8e57-605c40c607f5
37,18.409,Samsung Galaxy J4 Core 16 GB Negro 1 GB RAM ,https://www.mercadolibre.com.ar/samsung-galaxy-j4-core-16-gb-negro-1-gb-ram/p/MLA15146461?source=search#searchVariation=MLA15146461&position=39&type=product&tracking_id=ce7eba03-1e84-43b8-8e57-605c40c607f5
38,73.999,Samsung Galaxy S10 Dual SIM 128 GB Negro prisma 8 GB RAM ,https://www.mercadolibre.com.ar/samsung-galaxy-s10-dual-sim-128-gb-negro-prisma-8-gb-ram/p/MLA14186174?source=search#searchVariation=MLA14186174&position=40&type=product&tracking_id=ce7eba03-1e84-43b8-8e57-605c40c607f5
39,12.600,Samsung Galaxy J2 Core Dual SIM 8 GB Negro 1 GB RAM ,https://www.mercadolibre.com.ar/samsung-galaxy-j2-core-dual-sim-8-gb-negro-1-gb-ram/p/MLA13799616?source=search#searchVariation=MLA13799616&position=41&type=product&tracking_id=ce7eba03-1e84-43b8-8e57-605c40c607f5
40,102.999,Samsung Galaxy S10+ Dual SIM 128 GB Negro prisma ,https://www.mercadolibre.com.ar/samsung-galaxy-s10-dual-sim-128-gb-negro-prisma/p/MLA14186128?source=search#searchVariation=MLA14186128&position=42&type=product&tracking_id=ce7eba03-1e84-43b8-8e57-605c40c607f5
